Month,Year,wellme,Discharge,TRMM,LST,Vegetation,Canopy,SoilMoisture,SWE,Thickness,Conductivity,Lat,Long,GRACE_TWSA,GWLA,DGWL_m
1,2005,Peoria,21.73690007,190.4032673,-7.197546499,0.130700736,0.194342546,547.0211861,7.722735544,230.5888488,30.29344243,40.74529437,-89.50606312,86.950385,,
1,2005,Perry,19.77985527,185.1952309,-5.186892121,0,0.241974719,474.741648,2.357640019,69.61666284,35.1238178,39.7904213,-90.622262,106.870105,1861.773038,0.9786
1,2005,RendLake,27.967185,203.421211,-1.295833,0.455852,0.135344,552.973314,1.294222,49.96639723,20.44530241,38.152613,-88.872262,158.61701,817.9241928,0.6692
1,2005,S.E.ILCollege,38.71416056,166.5862663,-1.658596096,10.47147419,0.217632971,570.9490777,5.086150104,26.7466805,,37.7599857,-88.46756041,196.863176,862.4146667,0.6248
1,2005,Snicarte,25.788663,193.915932,-5.3075,0,0.217711,500.432153,2.618311,157.8064065,67.65506536,40.152613,-90.122262,92.163433,281.1942128,11.4666
1,2005,SpartaEden,22.627616,208.02327,0.844167,0.665892,0.229122,548.67962,4.579555,47.53983557,12.42788318,38.152613,-89.622262,146.616317,1086.217862,0.9601
1,2005,Springfield,17.558059,219.970161,-4.803333,0,0.187789,489.449768,2.089244,66.13090723,12.35046259,39.652613,-89.622262,102.51421,,
1,2005,St.Charles,17.702127,162.864708,-8.536667,0,0.203889,569.808167,6.230755,112.8158661,40.42392446,41.902613,-88.372262,72.865255,-705.729067,8.6388
1,2005,St.Peter,26.614617,219.337952,-4.552778,0.015425,0.158633,534.108948,1.541689,54.07055919,8.007969684,38.902613,-88.872262,158.61701,347.655931,0.4846
1,2005,Stelle,25.656817,218.619839,-22.061944,0,0.076156,496.882284,2.267022,112.8412602,14.8445014,40.902613,-88.122262,79.798246,614.923618,0.2817
1,2005,SWS,26.507625,242.200214,-4.056667,0.030193,0.151867,539.457926,0.832,58.73428647,22.05608377,38.652613,-90.122262,126.305016,,
1,2006,Barry,20.4134347,82.38356841,1.664002132,0.001924503,0.15425874,497.6939539,0.039526702,67.27772721,32.54321969,39.75778929,-90.622262,-53.612975,-1503.661527,5.0719
1,2006,Bellville,26.97797851,74.85018207,4.047338703,2.954961329,0.128650618,572.3673963,0.194997409,53.08873159,25.26244164,38.52109241,-89.78808772,-35.159152,703.2507859,0.7645
1,2006,BigBend,19.120721,109.310663,-2.197222,0.724638,0.2185,429.496779,0.0256,151.7032217,74.76601622,41.652613,-90.122262,-51.256404,-387.7239248,4.8951
1,2006,Bondville,28.856066,82.41692,1.8475,0.173611,0.352822,600.432251,0.011378,182.2472101,34.22539457,40.152613,-88.372262,-34.689138,-907.4863914,2.3352
1,2006,Boyleston,36.141453,96.946005,4.589444,0.62093,0.184711,580.344781,0.974222,43.27882995,10.62352593,38.402613,-88.372262,-30.451102,867.0387692,0.3871
1,2006,Brownstown,31.226281,73.800928,3.085,0.047587,0.149511,610.12325,0.526222,54.07055919,8.007969684,38.902613,-88.872262,-30.451102,285.785275,0.675
1,2006,Carbondale,39.37217264,123.0725323,4.202326636,1.892995443,0.137597023,490.5127383,0.854158669,43.86753473,8.636314476,37.74240261,-89.24478017,-35.068621,361.5625583,1.283
1,2006,CrystalLake,18.833067,126.370459,-2.7425,0.188708,0.229022,477.673126,0.105244,197.443757,31.88488981,42.152613,-88.372262,-34.298038,-867.9036226,2.3409
1,2006,Dekalb,15.384262,119.087631,-3.094167,0,0.291578,464.553138,0.091022,138.3924483,28.95619436,41.902613,-88.872262,-38.195586,-1466.620632,2.5028
1,2006,DixonSprings,53.00807198,147.1171963,5.394117504,6.761184707,0.156034222,482.3356207,0.459805205,21.01098864,,37.69445165,-88.63451125,-29.804394,,
1,2006,Fairfield,36.141453,96.946005,4.589444,0.62093,0.184711,580.344781,0.974222,43.27882995,10.62352593,38.402613,-88.372262,-30.451102,643.2992984,0.4176
1,2006,Fermi,29.85064804,113.722613,-1.017810357,0.346080504,0.190413036,496.8081889,0.087075536,98.32130839,42.48972681,41.81105877,-88.25284525,-38.195586,-691.2633962,2.9322
1,2006,Freeport,17.96807112,101.1163124,-2.664425093,2.38E-04,0.252123448,463.1899535,0.299853344,94.26013615,35.06365524,42.27922281,-89.71351458,-37.082208,-1605.64285,7.1057
1,2006,Gale,15.263033,65.160522,-2.943889,0.007413,0.259389,450.922557,0.905956,113.6952927,6.183636749,42.402613,-90.372262,-39.342847,-488.3106207,6.8275
